,Company,Item,Size,Price
0,chick-fil-a,Chick-fil-A Chicken Sandwich,,3.05
1,chick-fil-a,Chick-fil-A Chicken Sandwich - Combo,,5.95
2,chick-fil-a,Chick-fil-A Chicken Deluxe Sandwich,,3.65
3,chick-fil-a,Chick-fil-A Chicken Deluxe Sandwich - Combo,,6.55
4,chick-fil-a,Spicy Chicken Sandwich,,3.29
5,chick-fil-a,Spicy Chicken Sandwich - Combo,,6.19
6,chick-fil-a,Spicy Chicken Deluxe Sandwich,,3.89
7,chick-fil-a,Spicy Chicken Deluxe Sandwich - Combo,,6.79
8,chick-fil-a,Chick-fil-A Nuggets,8 Pc.,3.05
9,chick-fil-a,Chick-fil-A Nuggets,12 Pc.,4.45
10,chick-fil-a,Chick-fil-A Nuggets - Combo,8 Pc.,5.95
11,chick-fil-a,Chick-fil-A Nuggets - Combo,12 Pc.,8.59
12,chick-fil-a,Chick-fil-A Nuggets (Grilled),8 Pc.,3.85
13,chick-fil-a,Chick-fil-A Nuggets (Grilled),12 Pc.,5.75
14,chick-fil-a,Chick-fil-A Nuggets (Grilled) - Combo,8 Pc.,6.75
15,chick-fil-a,Chick-fil-A Nuggets (Grilled) - Combo,12 Pc.,8.59
16,chick-fil-a,Chick-n-Strips,3 Pc.,3.35
17,chick-fil-a,Chick-n-Strips,4 Pc.,4.39
18,chick-fil-a,Chick-n-Strips - Combo,3 Pc.,6.25
19,chick-fil-a,Chick-n-Strips - Combo,4 Pc.,7.25
20,chick-fil-a,Grilled Chicken Sandwich,,4.39
21,chick-fil-a,Grilled Chicken Sandwich - Combo,,7.19
22,chick-fil-a,Grilled Chicken Club Sandwich,,5.59
23,chick-fil-a,Grilled Chicken Club Sandwich - Combo,,8.39
24,chick-fil-a,Chicken Salad Sandwich,,3.99
25,chick-fil-a,Chicken Salad Sandwich - Combo,,6.79
26,chick-fil-a,Grilled Chicken Cool Wrap,,5.19
27,chick-fil-a,Grilled Chicken Cool Wrap - Combo,,8.15
28,chick-fil-a,Soup & Salad (Large Chicken Soup and Side Salad),,8.35
29,chick-fil-a,Chilled Grilled Chicken Sub Sandwich (Limited Time),,4.79
30,chick-fil-a,Substitute Medium Premium Side,,1.00
31,chick-fil-a,Upsize Fries & Drink,,0.46
32,chick-fil-a,Waffle Potato Fries,Small,1.55
33,chick-fil-a,Waffle Potato Fries,Medium,1.65
34,chick-fil-a,Waffle Potato Fries,Large,1.85
35,chick-fil-a,Baked Potato with Butter,,1.65
36,chick-fil-a,Yogurt Parfait ,,2.45
37,chick-fil-a,Fruit Cup,Small,2.05
38,chick-fil-a,Fruit Cup,Medium,2.75
39,chick-fil-a,Fruit Cup,Large,4.25
40,chick-fil-a,Side Salad,,2.89
41,chick-fil-a,Chicken Soup,Medium,2.65
42,chick-fil-a,Chicken Soup,Large,4.35
43,chick-fil-a,Chicken Tortilla Soup (Limited Time),Medium,3.75
44,chick-fil-a,Chicken Tortilla Soup (Limited Time),Large,6.05
45,chick-fil-a,Superfood Salad (Limited Time),Medium,2.89
46,chick-fil-a,Superfood Salad (Limited Time),Large,3.89
47,chick-fil-a,Chicken Salad Cup,Medium,3.19
48,chick-fil-a,Chicken Salad Cup,Large,5.15
49,chick-fil-a,Loaded Baked Potato (Limited Time),,2.65
50,chick-fil-a,Nuggets,4 Pc.,3.35
51,chick-fil-a,Nuggets,6 Pc.,4.05
52,chick-fil-a,Grilled Nuggets,4 Pc.,3.75
53,chick-fil-a,Grilled Nuggets,6 Pc.,4.65
54,chick-fil-a,Chick-n-Strips,1 Pc.,3.05
55,chick-fil-a,Chick-n-Strips,2 Pc.,4.09
56,chick-fil-a,Asian Salad,,7.19
57,chick-fil-a,Cobb Salad,,7.19
58,chick-fil-a,Grilled Market Salad,,7.19
59,chick-fil-a,"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",Small,2.75
60,chick-fil-a,"Hand-Spun Milkshakes (Cookies & Cream, Chocolate, Strawberry, or Vanilla)",Large,3.15
61,chick-fil-a,Frosted Lemonade (Limited Time),,2.75
62,chick-fil-a,Icedream Cone,Small,1.25
63,chick-fil-a,Icedream Cone,Large,1.65
64,chick-fil-a,Icedream Cup,Small,1.59
65,chick-fil-a,Icedream Cup,Large,1.85
66,chick-fil-a,Icedream Topping,,0.25
67,chick-fil-a,Chocolate Chunk Cookie,1 Pc.,1.19
68,chick-fil-a,Chocolate Chunk Cookie,6 Pc.,6.65
69,chick-fil-a,Chick-fil-A Chicken Biscuit,,2.19
70,chick-fil-a,Chick-fil-A Chicken Biscuit - Combo,,4.49
71,chick-fil-a,Chick-n-Minis,3 Pc.,2.29
72,chick-fil-a,Chick-n-Minis,4 Pc.,2.99
73,chick-fil-a,Chick-n-Minis - Combo,3 Pc.,4.65
74,chick-fil-a,Chick-n-Minis - Combo,4 Pc.,5.29
75,chick-fil-a,Buttered Biscuit,,0.89
76,chick-fil-a,"Bacon, Egg & Cheese Biscuit",,2.59
77,chick-fil-a,"Bacon, Egg & Cheese Biscuit - Combo",,4.95
78,chick-fil-a,Spicy Chicken Biscuit,,2.35
79,chick-fil-a,Spicy Chicken Biscuit - Combo,,4.65
80,chick-fil-a,Breakfast Burrito (Chicken or Sausage),,2.55
81,chick-fil-a,Breakfast Burrito (Chicken or Sausage) - Combo,,4.85
82,chick-fil-a,"Sausage, Egg & Cheese Biscuit",,2.59
83,chick-fil-a,"Sausage, Egg & Cheese Biscuit - Combo",,4.95
84,chick-fil-a,"Chicken, Egg & Cheese Bagel",,3.39
85,chick-fil-a,"Chicken, Egg & Cheese Bagel - Combo",,5.65
86,chick-fil-a,Oatmeal,,2.69
87,chick-fil-a,Oatmeal & Fruit - Combo,,6.69
88,chick-fil-a,Fruit Cup,Small,2.05
89,chick-fil-a,Fruit Cup,Medium,2.75
90,chick-fil-a,Fruit Cup,Large,4.25
91,chick-fil-a,Plain Bagel,,1.29
92,chick-fil-a,Bagel with Cream Cheese,,1.79
93,chick-fil-a,Hash Browns,,0.99
94,chick-fil-a,Yogurt Parfait,,2.45
95,chick-fil-a,Cinnamon Cluster,,1.95
96,chick-fil-a,Fresh-Squeezed Lemonade (Regular or Diet),Small,1.55
97,chick-fil-a,Fresh-Squeezed Lemonade (Regular or Diet),Medium,1.79
98,chick-fil-a,Fresh-Squeezed Lemonade (Regular or Diet),Large,2.09
99,chick-fil-a,Iced Tea (Sweet or Unsweetened),Small,1.35
100,chick-fil-a,Iced Tea (Sweet or Unsweetened),Medium,1.59
101,chick-fil-a,Iced Tea (Sweet or Unsweetened),Large,1.85
102,chick-fil-a,Soft Drinks,Small,1.35
103,chick-fil-a,Soft Drinks,Medium,1.59
104,chick-fil-a,Soft Drinks,Large,1.85
105,chick-fil-a,Dasani Water,Bottle,1.59
106,chick-fil-a,Simply Orange Juice,Bottle,2.15
107,chick-fil-a,Apple Juice,,1.09
108,chick-fil-a,Freshly-Brewed Tea,1 Gallon,4.50
109,chick-fil-a,Fresh-Squeezed Lemonade,1 Gallon,9.50
110,chick-fil-a,Iced Coffee (Original or Vanilla),Medium,2.35
111,chick-fil-a,Iced Coffee (Original or Vanilla),Large,2.65
112,chick-fil-a,Coffee,Small,1.65
113,chick-fil-a,Coffee,Medium,1.95
114,chick-fil-a,Coffee,Large,2.15
115,chick-fil-a,Coffee,To-Go Box,12.75
116,subway,Ultimate Steak,Footlong,11.49
117,subway,Ultimate Steak,Six Inch,7.29
118,subway, Meatball Marinara,Footlong,7.29
119,subway, Meatball Marinara,Six Inch,4.99
120,subway,Spicy Italian,Six Inch,5.99
121,subway,Black Forest Ham,Footlong,6.49
122,subway,Black Forest Ham,Six Inch,4.99
123,subway,Chicken Caesar Melt,Footlong,7.79
124,subway,Cold Cut Combo,Footlong,4.99
125,subway,Cold Cut Combo,Six Inch,3.99
126,subway,Meatball Marinara,Footlong,5.29
127,subway,Meatball Marinara,Six Inch,3.99
128,subway,Pizza Sub Melt,Footlong,7.49
129,subway,Pizza Sub Melt,Six Inch,4.99
130,subway,Roast Beef,Footlong,9.49
131,subway,Roast Beef,Six Inch,6.29
132,subway,Rotisserie-Style Chicken,Footlong,8.49
133,subway,Rotisserie-Style Chicken,Six Inch,5.29
134,subway,Rotisserie-Style Chicken & Bacon Melt,Footlong,9.49
135,subway,Rotisserie-Style Chicken & Bacon Melt,Six Inch,6.29
136,subway,Spicy Italian,Footlong,6.49
137,subway,Spicy Italian,Six Inch,4.99
138,subway,Steak & Cheese,Footlong,9.49
139,subway,Steak & Cheese,Six Inch,6.29
140,subway,Subway Club,Footlong,9.49
141,subway,Subway Club,Six Inch,6.29
142,subway,Subway Melt,Footlong,9.49
143,subway,Subway Melt,Six Inch,6.29
144,subway,Sweet Onion Chicken Teriyaki,Footlong,8.49
145,subway,Sweet Onion Chicken Teriyaki,Six Inch,5.29
146,subway,Tuna,Footlong,8.49
147,subway,Tuna,Six Inch,5.29
148,subway,Turkey & Bacon Guacamole,Footlong,11.49
149,subway,Turkey Breast,Footlong,8.49
150,subway,Turkey Breast,Six Inch,5.29
151,subway,Veggie Delite,Footlong,4.99
152,subway,Veggie Delite,Six Inch,3.49
153,subway,Black Forest Ham Signature Wrap,,6.99
154,subway,Cold Cut Combo Signature Wrap,,6.99
155,subway,Meatball Marinara Signature Wrap,,6.99
156,subway,Roast Beef Signature Wrap,,6.99
157,subway,Rotisserie-Style Chicken Signature Wrap,,6.99
158,subway,Savory Rotisserie-Style Chicken Caesar Signature Wrap,,6.99
159,subway,Spicy Italian Signature Wrap,,6.99
160,subway,Steak & Cheese Signature Wrap,,7.49
161,subway,Subway Club Signature Wrap,,6.99
162,subway,Subway Melt Signature Wrap,,6.99
163,subway,Sweet Onion Chicken Teriyaki Signature Wrap,,6.99
164,subway,Tuna Signature Wrap,,6.99
165,subway,Turkey Breast & Black Forest Ham Signature Wrap,,6.99
166,subway,Turkey Italiano Melt Signature Wrap,,6.99
167,subway,"Turkey, Bacon & Guacamole Signature Wrap",,7.29
168,subway,Veggie Delite Signature Wrap,,5.99
169,subway,"Bacon, Egg & Cheese Signature Wrap",,6.99
170,subway,"Black Forest Ham, Egg & Cheese Signature Wrap",,6.99
171,subway,Egg & Cheese Signature Wrap,,6.99
172,subway,"Steak, Egg & Cheese Signature Wrap",,6.99
173,subway,"Bacon, Egg & Cheese",Footlong,6.49
174,subway,"Bacon, Egg & Cheese",Six Inch,4.29
175,subway,"Black Forest Ham, Egg & Cheese",Footlong,6.49
176,subway,"Black Forest Ham, Egg & Cheese",Six Inch,4.29
177,subway,Egg & Cheese,Footlong,4.99
178,subway,Egg & Cheese,Six Inch,3.99
179,subway,"Steak, Egg & Cheese",Footlong,6.48
180,subway,"Steak, Egg & Cheese",Six Inch,4.29
181,subway,Sunrise Subway Melt,Footlong,6.49
182,subway,Sunrise Subway Melt,Six Inch,4.29
183,subway,Rotisserie-Style Chicken,Footlong,8.49
184,subway,Rotisserie-Style Chicken,Six Inch,5.29
185,subway,Black Forest Ham,Footlong,6.49
186,subway,Black Forest Ham,Six Inch,4.99
187,subway,Roast Beef,Footlong,9.49
188,subway,Roast Beef,Six Inch,6.29
189,subway,Subway Club,Footlong,9.49
190,subway,Subway Club,Six Inch,6.29
191,subway,Sweet Onion Chicken Teriyaki,Footlong,8.49
192,subway,Sweet Onion Chicken Teriyaki,Six Inch,5.29
193,subway,Turkey Breast,Footlong,8.49
194,subway,Turkey Breast,Six Inch,5.29
195,subway,Veggie Delite,Footlong,4.99
196,subway,Veggie Delite,Six Inch,3.49
197,subway,Black Forest Ham,,4.99
198,subway,Roast Beef,,4.99
199,subway,Turkey Breast,,4.99
200,subway,Veggie Delite,,4.99
201,subway,Chicken Caesar,,6.49
202,subway,Pizza Sub,,7.48
203,subway,Rotisserie-Style Chicken,,7.78
204,subway,Rotisserie-Style Chicken & Bacon,,8.78
205,subway,Turkey & Bacon Guacamole,,9.28
206,subway,Black Forest Ham,,7.78
207,subway,Chicken & Bacon Ranch,,8.78
208,subway,Cold Cut Combo,,6.48
209,subway,Meatball Marinara,,6.48
210,subway,Roast Beef,,8.78
211,subway,Spicy Italian,,7.78
212,subway,Subway Club,,8.78
213,subway,Subway Melt,,8.78
214,subway,Sweet Onion Chicken Teriyaki,,7.78
215,subway,Tuna,,7.78
216,subway,Turkey Breast,,7.78
217,subway,Veggie Delite,,5.98
218,subway,Ham and Jack,,1.89
219,subway,Italian Spice,,1.89
220,subway,Little Cheesesteak,,2.39
221,subway,Little Turkey,,2.19
222,subway,Apple Sauce,,1.49
223,subway,Chips,,1.49
224,subway,Chocolate Chip Cookie,,0.59
225,subway,Oatmeal Raisin Cookie,,0.59
226,subway,Double Chocolate Cookie,,0.59
227,subway,White Chip Macadamia Nut Cookie,,0.59
228,subway,Dark Chocolate Cherry Cookie,,0.59
229,subway,Coffee,,1.29
230,subway,Fountain Drinks,20 oz,1.89
231,subway,Fountain Drinks,30 oz,1.99
232,subway,Fountain Drinks,40 oz,2.19
233,subway,Dasani Water,,2.19
234,subway,X2 All Natural Energy Raspberry,,2.49
235,subway,Gatorade Lemon Lime,,2.19
236,subway,Honest Kids,,1.19
237,subway,Gatorade Fruit Punch,,2.19
238,subway,X2 All Natural Energy Strawberry Kiwi,,2.49
239,subway,X2 All Natural Energy Fruit Punch,,2.49
240,subway,Cool Blue,,2.19
241,subway,Bottled Beverage,,2.19
242,subway,Juices,,1.99
243,subway,Cheese Flatizza,,3.50
244,subway,Pepperoni Flatizza,,3.50
245,subway,Spicy Italian Flatizza,,3.50
246,subway,Veggie Flatizza,,3.50
247,arbys,Classic Roast Beef,,3.29
248,arbys,Classic Roast Beef - Meal,,5.69
249,arbys,Mid Roast Beef,,4.29
250,arbys,Mid Roast Beef - Meal,,6.69
251,arbys,Max Roast Beef,,5.29
252,arbys,Max Roast Beef - Meal,,7.69
253,arbys,Classic Beef &#8216;n Cheddar,,3.99
254,arbys,Classic Beef &#8216;n Cheddar - Meal,,6.39
255,arbys,Mid Beef &#8216;n Cheddar,,4.99
256,arbys,Mid Beef &#8216;n Cheddar - Meal,,7.39
257,arbys,French Dip & Swiss,,4.49
258,arbys,French Dip & Swiss - Meal,,6.79
259,arbys,Smokehouse Brisket,,5.59
260,arbys,Smokehouse Brisket - Meal,,7.69
261,arbys,Corned Beef Reuben,,4.99
262,arbys,Corned Beef Reuben - Meal,,7.49
263,arbys,Angus Three Cheese & Bacon,,5.59
264,arbys,Angus Three Cheese & Bacon - Meal,,7.69
265,arbys,Angus Philly,,5.59
266,arbys,Angus Philly - Meal,,7.69
267,arbys,Roast Turkey Ranch & Bacon Sandwich,,5.29
268,arbys,Roast Turkey Ranch & Bacon Sandwich - Meal,,7.59
269,arbys,Roast Turkey Ranch & Bacon Wrap,,5.29
270,arbys,Roast Turkey Ranch & Bacon Wrap - Meal,,7.59
271,arbys,Roast Turkey & Swiss Sandwich,,4.99
272,arbys,Roast Turkey & Swiss Sandwich - Meal,,7.49
273,arbys,Roast Turkey & Swiss Wrap,,4.99
274,arbys,Roast Turkey & Swiss Wrap - Meal,,7.49
275,arbys,Grand Turkey Club,,4.49
276,arbys,Grand Turkey Club - Meal,,6.79
277,arbys,Crispy Chicken,,3.99
278,arbys,Crispy Chicken - Meal,,6.49
279,arbys,Chicken Bacon & Swiss,,4.59
280,arbys,Chicken Bacon & Swiss - Meal,,6.99
281,arbys,Chicken Cordon Bleu,,4.59
282,arbys,Chicken Cordon Bleu - Meal,,6.99
283,arbys,Prime-Cut Chicken Tenders,3 Pc.,3.69
284,arbys,Prime-Cut Chicken Tenders,5 Pc.,5.19
285,arbys,Prime-Cut Chicken Tenders - Meal,3 Pc.,6.19
286,arbys,Prime-Cut Chicken Tenders - Meal,5 Pc.,7.69
287,arbys,Crispy Fish Flatbread (Limited Time),,2.99
288,arbys,Crispy Fish Flatbread - Meal (Limited Time),,4.99
289,arbys,Crispy Fish Sandwich (Limited Time),,2.99
290,arbys,Crispy Fish Sandwich - Meal (Limited Time),,4.99
291,arbys,King&#8217;s Hawaiian Fish Deluxe (Limited Time),,3.99
292,arbys,King&#8217;s Hawaiian Fish Deluxe - Meal (Limited Time),,5.99
293,arbys,Steak Fajita Flatbread (Limited Time),,4.99
294,arbys,Steak Fajita Flatbread - Meal (Limited Time),,6.99
295,arbys,Fiery Steak Fajita Flatbread (Limited Time),,4.99
296,arbys,Fiery Steak Fajita Flatbread - Meal (Limited Time),,6.99
297,arbys,Make It Medium Meal,,0.59
298,arbys,Make It Large Meal,,0.99
299,arbys,Ham Melt,,1.59
300,arbys,French Fries (Curly or Waffle),Snack,1.19
301,arbys,Drink,Kids,1.09
302,arbys,Chicken Slider,,1.49
303,arbys,Corned Beef Slider,,1.49
304,arbys,Ham Slider,,1.49
305,arbys,Roast Beef Slider,,1.49
306,arbys,Any Slider,,1.00
307,arbys,"Fries, Shake or Drink",Small,1.00
308,arbys,Roast Beef &#8216;n Cheese Slider,,3.99
309,arbys,Ham &#8216;n Cheese Slider,,3.99
310,arbys,Prime-Cut Chicken Tenders,2 Pc.,3.99
311,arbys,Farmhouse Salad (Crispy Chicken or Roast Turkey),,4.99
312,arbys,Side Salad,,1.69
313,arbys,Waffle Fries,Small,1.69
314,arbys,Waffle Fries,Medium,1.99
315,arbys,Waffle Fries,Large,2.19
316,arbys,Curly Fries,Small,1.69
317,arbys,Curly Fries,Medium,1.99
318,arbys,Curly Fries,Large,2.19
319,arbys,Potato Cakes,2 Pc.,1.69
320,arbys,Potato Cakes,3 Pc.,1.99
321,arbys,Potato Cakes,4 Pc.,2.19
322,arbys,Mozzarella Sticks,4 Pc.,2.99
323,arbys,Mozzarella Sticks,6 Pc.,4.69
324,arbys,Steakhouse Onion Rings,,2.29
325,arbys,Chips,Bag,1.29
326,arbys,Loaded Curly Fries (Limited Time),,2.99
327,arbys,"Shake (Chocolate, Jamocha or Vanilla)",Small,1.99
328,arbys,"Shake (Chocolate, Jamocha or Vanilla)",Medium,2.49
329,arbys,"Shake (Chocolate, Jamocha or Vanilla)",Large,2.99
330,arbys,Mint Chocolate Swirl Shake (Limited Time),20 oz.,2.99
331,arbys,"Turnovers (Apple, Cherry, or Chocolate)",,1.39
332,arbys,Soft Drink,Small,1.59
333,arbys,Soft Drink,Medium,1.79
334,arbys,Soft Drink,Large,1.99
335,arbys,Bottled Water,,1.49
336,arbys,Iced Tea,,2.29
337,dairy-queen,Blizzard Treat,Mini,2.89
338,dairy-queen,Blizzard Treat,Small,3.69
339,dairy-queen,Blizzard Treat,Medium,4.09
340,dairy-queen,Blizzard Treat,Large,4.69
341,dairy-queen,Blizzard Treat,Cone,3.89
342,dairy-queen,Add Extra Stuff,,0.69
343,dairy-queen,Peanut Buster Parfait,,4.39
344,dairy-queen,Banana Split,,4.39
345,dairy-queen,Cone,Small,1.99
346,dairy-queen,Cone,Medium,2.39
347,dairy-queen,Cone,Large,2.69
348,dairy-queen,Dipped Cone,Small,2.39
349,dairy-queen,Dipped Cone,Medium,2.79
350,dairy-queen,Dipped Cone,Large,3.19
351,dairy-queen,Waffle Cone (Plain),,3.89
352,dairy-queen,Waffle Cone (Chocolate Coated),,3.89
353,dairy-queen,Sundae,Small,2.79
354,dairy-queen,Sundae,Medium,3.09
355,dairy-queen,Sundae,Large,3.39
356,dairy-queen,Fudge Stuffed Cookie,,4.19
357,dairy-queen,Apple Tart,,4.39
358,dairy-queen,Triple Chocolate Brownie,,4.39
359,dairy-queen,Shake,Mini,2.99
360,dairy-queen,Shake,Small,3.29
361,dairy-queen,Shake,Medium,3.89
362,dairy-queen,Shake,Large,4.59
363,dairy-queen,MooLatte,Small,3.49
364,dairy-queen,MooLatte,Medium,3.99
365,dairy-queen,MooLatte,Large,4.59
366,dairy-queen,Arctic Rush,Small,1.69
367,dairy-queen,Arctic Rush,Medium,1.99
368,dairy-queen,Arctic Rush,Large,2.29
369,dairy-queen,Soft Drink,Small,1.79
370,dairy-queen,Soft Drink,Medium,1.99
371,dairy-queen,Soft Drink,Large,2.19
372,dairy-queen,Premium Fruit Smoothie,Small,2.99
373,dairy-queen,Premium Fruit Smoothie,Medium,3.49
374,dairy-queen,Premium Fruit Smoothie,Large,3.99
375,dairy-queen,Julius Original,Small,3.19
376,dairy-queen,Julius Original,Medium,3.39
377,dairy-queen,Julius Original,Large,3.89
378,dairy-queen,Add a Boost (Protein),,0.99
379,dairy-queen,Add a Boost (Fresh Banana),,0.99
380,dairy-queen,Original Cheeseburger,,2.19
381,dairy-queen,Original Cheeseburger - Combo,,4.39
382,dairy-queen,Original Double Cheeseburger,,3.19
383,dairy-queen,Original Double Cheeseburger - Combo,,5.39
384,dairy-queen,Chili Cheese Dog,,2.49
385,dairy-queen,Chili Cheese Dog - Combo,,4.69
386,dairy-queen,Chicken Sandwich (Grilled or Crispy),,3.89
387,dairy-queen,Chicken Sandwich (Grilled or Crispy) - Combo,,6.19
388,dairy-queen,Chicken Bacon Ranch,,4.89
389,dairy-queen,Chicken Bacon Ranch - Combo,,6.99
390,dairy-queen,Chicken Mozzarella,,4.89
391,dairy-queen,Chicken Mozzarella - Combo,,6.99
392,dairy-queen,Turkey BLT,,4.89
393,dairy-queen,Turkey BLT - Combo,,6.99
394,dairy-queen,Alaskan Pacific Cod Sandwich (Limited Time),,3.19
395,dairy-queen,Alaskan Pacific Cod Sandwich - Combo (Limited Time),,5.39
396,dairy-queen,Buffalo Chicken,,1.89
397,dairy-queen,Chicken Bacon BBQ,,1.89
398,dairy-queen,Chicken Quesadilla,,1.89
399,dairy-queen,Chicken Strip Basket,4 Pc.,5.49
400,dairy-queen,Chicken Strip Basket with Drink,4 Pc.,6.49
401,dairy-queen,Chicken Strip Basket,6 Pc.,6.89
402,dairy-queen,Chicken Strip Basket with Drink,6 Pc.,7.89
403,dairy-queen,Deluxe Cheeseburger Lunch,,5.00
404,dairy-queen,Chicken Strip Lunch,3 Pc.,5.00
405,dairy-queen,Crispy Chicken Wraps Lunch,,5.00
406,dairy-queen,KC BBQ Bacon Cheeseburger Lunch,,5.00
407,dairy-queen,Chicken BLT Salad (Crispy or Grilled),,6.19
408,dairy-queen,Chicken Garden Greens Salad (Crispy or Grilled),,6.19
409,dairy-queen,Side Salad,,2.19
410,dairy-queen,Chicken Wrap,,1.89
411,dairy-queen,Fries,Regular,2.19
412,dairy-queen,Fries,Large,2.69
413,dairy-queen,Onion Rings,Regular,2.49
